,Combination,B_I,Ker Len,Duplicate Elem Vect,Duplicate
163,"(0, 1, 8, 19)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 0, 1], [1, 0, 1, 0, 1]])",1,[0 0 0 1 0],1
164,"(0, 1, 8, 20)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 0, 1], [1, 0, 0, 1, 1]])",1,[0 0 1 0 0],1
165,"(0, 1, 8, 21)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 1, 1, 0]])",1,[0 0 -1 1 0],1
166,"(0, 1, 8, 22)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 1, 0, 1]])",1,[0 0 0 1 0],1
167,"(0, 1, 8, 23)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 1, 1]])",1,[0 0 1 0 0],1
168,"(0, 1, 8, 24)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 1, 1]])",1,[0 0 -1 1 0],1
169,"(0, 1, 8, 25)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 0, 1], [1, 1, 1, 1, 0]])",1,[0 0 -1 1 0],1
170,"(0, 1, 8, 26)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 0, 1], [1, 1, 1, 0, 1]])",1,[0 0 0 1 0],1
171,"(0, 1, 8, 27)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 0, 1], [1, 1, 0, 1, 1]])",1,[0 0 1 0 0],1
172,"(0, 1, 8, 28)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 0, 1], [1, 0, 1, 1, 1]])",1,[0 0 -1 1 0],1
173,"(0, 1, 8, 29)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 1, 1, 1]])",1,[0 0 -1 1 0],1
174,"(0, 1, 8, 30)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 0, 1], [1, 1, 1, 1, 1]])",1,[0 0 -1 1 0],1
175,"(0, 1, 9, 10)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 1, 1, 0, 0], [0, 1, 0, 1, 0]])",1,[0 0 0 0 1],1
