,Combination,B_I,Ker Len,Elementary Vector,Duplicate,Group
78,"(0, 1, 4, 28)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [1, 0, 1, 1, 1]])",1,"(0, 0, -1, 1, 0)",1,365.0
79,"(0, 1, 4, 29)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [0, 1, 1, 1, 1]])",1,"(0, 0, -1, 1, 0)",1,365.0
80,"(0, 1, 4, 30)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [1, 1, 1, 1, 1]])",1,"(0, 0, -1, 1, 0)",1,365.0
81,"(0, 1, 5, 6)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 1, 0, 0, 0], [1, 0, 1, 0, 0]])",2,,0,
82,"(0, 1, 5, 7)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 1, 0, 0, 0], [1, 0, 0, 1, 0]])",2,,0,
83,"(0, 1, 5, 8)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 1, 0, 0, 0], [1, 0, 0, 0, 1]])",2,,0,
84,"(0, 1, 5, 9)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 1, 0, 0, 0], [0, 1, 1, 0, 0]])",2,,0,
85,"(0, 1, 5, 10)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 1, 0, 0, 0], [0, 1, 0, 1, 0]])",2,,0,
86,"(0, 1, 5, 11)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 1, 0, 0, 0], [0, 1, 0, 0, 1]])",2,,0,
87,"(0, 1, 5, 12)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 1, 0, 0, 0], [0, 0, 1, 1, 0]])",2,,0,
88,"(0, 1, 5, 13)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 1, 0, 0, 0], [0, 0, 1, 0, 1]])",2,,0,
89,"(0, 1, 5, 14)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 1, 0, 0, 0], [0, 0, 0, 1, 1]])",2,,0,
90,"(0, 1, 5, 15)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 1, 0, 0, 0], [1, 1, 1, 0, 0]])",2,,0,
91,"(0, 1, 5, 16)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 1, 0, 0, 0], [1, 1, 0, 1, 0]])",2,,0,
92,"(0, 1, 5, 17)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 1, 0, 0, 0], [1, 1, 0, 0, 1]])",2,,0,
93,"(0, 1, 5, 18)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 1, 0, 0, 0], [1, 0, 1, 1, 0]])",2,,0,
94,"(0, 1, 5, 19)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 1, 0, 0, 0], [1, 0, 1, 0, 1]])",2,,0,
95,"(0, 1, 5, 20)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 1, 0, 0, 0], [1, 0, 0, 1, 1]])",2,,0,
96,"(0, 1, 5, 21)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 1, 0, 0, 0], [0, 1, 1, 1, 0]])",2,,0,
97,"(0, 1, 5, 22)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 1, 0, 0, 0], [0, 1, 1, 0, 1]])",2,,0,
98,"(0, 1, 5, 23)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 1, 0, 0, 0], [0, 1, 0, 1, 1]])",2,,0,
99,"(0, 1, 5, 24)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 1, 0, 0, 0], [0, 0, 1, 1, 1]])",2,,0,
100,"(0, 1, 5, 25)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 1, 0, 0, 0], [1, 1, 1, 1, 0]])",2,,0,
101,"(0, 1, 5, 26)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 1, 0, 0, 0], [1, 1, 1, 0, 1]])",2,,0,
102,"(0, 1, 5, 27)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 1, 0, 0, 0], [1, 1, 0, 1, 1]])",2,,0,
103,"(0, 1, 5, 28)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 1, 0, 0, 0], [1, 0, 1, 1, 1]])",2,,0,
104,"(0, 1, 5, 29)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 1, 0, 0, 0], [0, 1, 1, 1, 1]])",2,,0,
105,"(0, 1, 5, 30)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 1, 0, 0, 0], [1, 1, 1, 1, 1]])",2,,0,
106,"(0, 1, 6, 7)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 1, 0]])",1,"(0, 0, 0, 0, 1)",1,368.0
107,"(0, 1, 6, 8)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 0, 1]])",1,"(0, 0, 0, 1, 0)",1,369.0
108,"(0, 1, 6, 9)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [0, 1, 1, 0, 0]])",2,,0,
109,"(0, 1, 6, 10)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [0, 1, 0, 1, 0]])",1,"(0, 0, 0, 0, 1)",1,368.0
110,"(0, 1, 6, 11)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [0, 1, 0, 0, 1]])",1,"(0, 0, 0, 1, 0)",1,369.0
111,"(0, 1, 6, 12)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [0, 0, 1, 1, 0]])",1,"(0, 0, 0, 0, 1)",1,368.0
112,"(0, 1, 6, 13)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [0, 0, 1, 0, 1]])",1,"(0, 0, 0, 1, 0)",1,369.0
113,"(0, 1, 6, 14)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [0, 0, 0, 1, 1]])",1,"(0, 0, 0, -1, 1)",1,367.0
114,"(0, 1, 6, 15)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [1, 1, 1, 0, 0]])",2,,0,
115,"(0, 1, 6, 16)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [1, 1, 0, 1, 0]])",1,"(0, 0, 0, 0, 1)",1,368.0
116,"(0, 1, 6, 17)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [1, 1, 0, 0, 1]])",1,"(0, 0, 0, 1, 0)",1,369.0
117,"(0, 1, 6, 18)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [1, 0, 1, 1, 0]])",1,"(0, 0, 0, 0, 1)",1,368.0
118,"(0, 1, 6, 19)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [1, 0, 1, 0, 1]])",1,"(0, 0, 0, 1, 0)",1,369.0
119,"(0, 1, 6, 20)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 1, 1]])",1,"(0, 0, 0, -1, 1)",1,367.0
120,"(0, 1, 6, 21)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [0, 1, 1, 1, 0]])",1,"(0, 0, 0, 0, 1)",1,368.0
121,"(0, 1, 6, 22)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [0, 1, 1, 0, 1]])",1,"(0, 0, 0, 1, 0)",1,369.0
122,"(0, 1, 6, 23)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [0, 1, 0, 1, 1]])",1,"(0, 0, 0, -1, 1)",1,367.0
123,"(0, 1, 6, 24)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [0, 0, 1, 1, 1]])",1,"(0, 0, 0, -1, 1)",1,367.0
124,"(0, 1, 6, 25)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [1, 1, 1, 1, 0]])",1,"(0, 0, 0, 0, 1)",1,368.0
125,"(0, 1, 6, 26)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [1, 1, 1, 0, 1]])",1,"(0, 0, 0, 1, 0)",1,369.0
